Time,Residential
2024:4,0.00
2024:3,-0.01
2024:2,-0.01
2024:1,-0.01
2023:4,0.00
2023:3,0.00
2023:2,0.01
2023:1,-0.01
2022:4,-0.02
2022:3,-0.02
2022:2,-0.02
2022:1,-0.03
2021:4,-0.02
2021:3,-0.04
2021:2,-0.04
2021:1,-0.04
2020:4,-0.03
2020:3,0.00
2020:2,0.00
2020:1,-0.03
2019:4,0.01
2019:3,-0.04
2019:2,-0.02
2019:1,0.00
2018:4,0.00
2018:3,-0.02
2018:2,0.00
2018:1,0.01
2017:4,0.02
2017:3,0.04
2017:2,0.05
2017:1,0.05
2016:4,0.07
2016:3,0.10
2016:2,0.11
2016:1,0.12
2015:4,0.21
2015:3,0.15
2015:2,0.21
2015:1,0.27
2014:4,0.26
2014:3,0.27
2014:2,0.27
2014:1,0.36
2013:4,0.48
2013:3,0.48
2013:2,0.74
2013:1,0.91
2012:4,1.06
2012:3,1.74
2012:2,1.22
2012:1,1.40
2011:4,1.39
2011:3,1.51
2011:2,1.66
2011:1,1.73
2010:4,1.98
2010:3,1.90
2010:2,2.11
2010:1,2.47
2009:4,2.78
2009:3,2.41
2009:2,2.30
2009:1,1.83
2008:4,1.64
2008:3,1.82
2008:2,1.16
2008:1,0.87
2007:4,0.46
2007:3,0.26
2007:2,0.17
2007:1,0.16
2006:4,0.12
2006:3,0.11
2006:2,0.09
2006:1,0.09
2005:4,0.08
2005:3,0.08
2005:2,0.07
2005:1,0.08
2004:4,0.09
2004:3,0.09
2004:2,0.10
2004:1,0.12
2003:4,0.34
2003:3,0.13
2003:2,0.15
2003:1,0.15
2002:4,0.14
2002:3,0.15
2002:2,0.17
2002:1,0.16
2001:4,0.19
2001:3,0.45
2001:2,0.16
2001:1,0.14
2000:4,0.13
2000:3,0.11
2000:2,0.11
2000:1,0.12
1999:4,0.13
1999:3,0.13
1999:2,0.11
1999:1,0.09
1998:4,0.07
1998:3,0.07
1998:2,0.08
1998:1,0.08
1997:4,0.08
1997:3,0.08
1997:2,0.10
1997:1,0.09
1996:4,0.08
1996:3,0.09
1996:2,0.09
1996:1,0.11
1995:4,0.11
1995:3,0.12
1995:2,0.11
1995:1,0.13
1994:4,0.15
1994:3,0.12
1994:2,0.17
1994:1,0.17
1993:4,0.17
1993:3,0.19
1993:2,0.23
1993:1,0.20
1992:4,0.26
1992:3,0.25
1992:2,0.20
1992:1,0.20
1991:4,0.20
1991:3,0.19
1991:2,0.18
1991:1,0.20